Ride_ID,Timestamp,Month,Pickup_Location,Dropoff_Location,Fare_NPR,Payment_Method,Weather,Is_Peak_Hour,Is_Bottleneck_Zone,Driver_Rating,Ride_Status
36,7/23/2026 15:30,July,Thamel,Balaju,210,Esewa,Heavy Monsoon Rain,0,0,3.7,Completed
37,6/1/2026 12:16,June,Balaju,Chabahil,369,Esewa,Clear,0,1,,Canceled
38,6/20/2026 6:18,June,Thamel,Kalanki,392,Cash,Heavy Monsoon Rain,0,1,,Canceled
39,6/8/2026 1:37,June,Balaju,Lalitpur-Jhamsikhel,208,Fonepay,Heavy Monsoon Rain,0,0,4.9,Completed
40,6/11/2026 5:04,June,Koteshwor,Putalisadak,326,Fonepay,Cloudy,0,1,3.7,Completed
41,8/12/2026 7:37,August,Kalanki,Bhaktapur-Suryabinayak,467,Cash,Heavy Monsoon Rain,0,1,,Canceled
42,8/24/2026 18:36,August,Bhaktapur-Suryabinayak,Chabahil,364,Fonepay,Cloudy,1,1,3.9,Completed
43,7/21/2026 4:42,July,Lalitpur-Jhamsikhel,Thamel,219,Khalti,Heavy Monsoon Rain,0,0,3.5,Completed
44,8/19/2026 18:06,August,Koteshwor,Bhaktapur-Suryabinayak,644,Fonepay,Heavy Monsoon Rain,1,1,,Canceled
45,7/4/2026 4:59,July,Bhaktapur-Suryabinayak,Kalanki,432,Fonepay,Heavy Monsoon Rain,0,1,,Canceled
46,7/7/2026 5:28,July,Lalitpur-Jhamsikhel,Bhaktapur-Suryabinayak,273,Cash,Cloudy,0,0,4.9,Completed
47,6/14/2026 4:16,June,Koteshwor,Kalanki,362,Fonepay,Heavy Monsoon Rain,0,1,,Canceled
48,7/7/2026 19:13,July,Bhaktapur-Suryabinayak,Koteshwor,642,Khalti,Heavy Monsoon Rain,1,1,,Canceled
49,8/2/2026 8:57,August,Kalanki,Koteshwor,365,Esewa,Heavy Monsoon Rain,0,1,,Canceled
50,6/6/2026 0:21,June,Chabahil,Putalisadak,202,Khalti,Clear,0,1,4.6,Completed
51,8/10/2026 22:27,August,Kalanki,Koteshwor,196,Cash,Clear,0,1,4.3,Completed
52,7/18/2026 18:35,July,Chabahil,Lalitpur-Jhamsikhel,239,Fonepay,Heavy Monsoon Rain,1,1,,Canceled
53,7/10/2026 11:57,July,Kalanki,Thamel,419,Fonepay,Heavy Monsoon Rain,1,1,,Canceled
54,8/25/2026 3:22,August,Putalisadak,Lalitpur-Jhamsikhel,241,Fonepay,Cloudy,0,0,4.8,Completed
55,6/23/2026 13:01,June,Chabahil,Putalisadak,330,Khalti,Clear,0,1,4.7,Completed
56,7/2/2026 8:10,July,Koteshwor,Lalitpur-Jhamsikhel,360,Cash,Cloudy,0,1,3.8,Completed
57,7/29/2026 11:19,July,Thamel,Koteshwor,370,Cash,Heavy Monsoon Rain,1,1,,Canceled
58,7/22/2026 10:17,July,Koteshwor,Balaju,508,Khalti,Heavy Monsoon Rain,1,1,,Canceled
59,8/22/2026 16:25,August,Bhaktapur-Suryabinayak,Kalanki,430,Cash,Heavy Monsoon Rain,1,1,3.8,Completed
60,7/4/2026 1:06,July,Putalisadak,Chabahil,480,Khalti,Heavy Monsoon Rain,0,1,,Canceled
61,8/17/2026 16:07,August,Putalisadak,Lalitpur-Jhamsikhel,425,Fonepay,Heavy Monsoon Rain,1,0,,Canceled
62,6/6/2026 22:27,June,Kalanki,Bhaktapur-Suryabinayak,306,Fonepay,Cloudy,0,1,4.1,Completed
63,8/25/2026 10:39,August,Bhaktapur-Suryabinayak,Putalisadak,354,Cash,Cloudy,1,0,4.3,Completed
64,8/25/2026 13:20,August,Putalisadak,Bhaktapur-Suryabinayak,259,Khalti,Heavy Monsoon Rain,0,0,,Canceled
65,6/25/2026 13:42,June,Putalisadak,Bhaktapur-Suryabinayak,274,Fonepay,Clear,0,0,4.1,Completed
66,6/1/2026 9:18,June,Thamel,Lalitpur-Jhamsikhel,465,Khalti,Cloudy,1,0,4.2,Completed
67,8/26/2026 6:32,August,Balaju,Putalisadak,163,Fonepay,Clear,0,0,3.9,Completed
68,8/24/2026 20:39,August,Bhaktapur-Suryabinayak,Kalanki,389,Fonepay,Heavy Monsoon Rain,0,1,3.8,Completed
69,6/26/2026 4:01,June,Kalanki,Chabahil,157,Esewa,Cloudy,0,1,,Canceled
70,7/29/2026 13:56,July,Thamel,Putalisadak,522,Esewa,Heavy Monsoon Rain,0,0,,Canceled
71,7/22/2026 7:09,July,Kalanki,Balaju,471,Cash,Heavy Monsoon Rain,0,1,3.8,Completed
72,8/29/2026 16:29,August,Kalanki,Bhaktapur-Suryabinayak,236,Fonepay,Cloudy,1,1,4.2,Completed
73,7/30/2026 21:33,July,Bhaktapur-Suryabinayak,Balaju,378,Esewa,Cloudy,0,0,4.1,Completed
74,8/10/2026 14:57,August,Chabahil,Putalisadak,489,Esewa,Heavy Monsoon Rain,0,1,,Canceled
75,7/4/2026 7:53,July,Lalitpur-Jhamsikhel,Balaju,242,Esewa,Clear,0,0,3.9,Completed
76,6/10/2026 22:18,June,Thamel,Chabahil,396,Khalti,Heavy Monsoon Rain,0,1,4.8,Completed
77,6/11/2026 4:09,June,Thamel,Lalitpur-Jhamsikhel,229,Fonepay,Clear,0,0,3.6,Completed
78,7/23/2026 10:34,July,Balaju,Thamel,382,Cash,Heavy Monsoon Rain,1,0,4.7,Completed
79,7/20/2026 18:44,July,Kalanki,Balaju,618,Esewa,Heavy Monsoon Rain,1,1,,Canceled
80,6/1/2026 11:19,June,Putalisadak,Balaju,301,Esewa,Clear,1,0,,Canceled
81,8/2/2026 7:17,August,Putalisadak,Thamel,319,Cash,Cloudy,0,0,4,Completed
82,8/26/2026 12:46,August,Chabahil,Balaju,259,Esewa,Heavy Monsoon Rain,0,1,,Canceled
83,8/19/2026 17:01,August,Putalisadak,Lalitpur-Jhamsikhel,210,Cash,Clear,1,0,,Canceled
84,8/22/2026 13:08,August,Balaju,Koteshwor,253,Cash,Cloudy,0,1,4.1,Completed
85,6/28/2026 14:20,June,Bhaktapur-Suryabinayak,Balaju,262,Esewa,Clear,0,0,4.6,Completed
86,7/24/2026 8:53,July,Koteshwor,Lalitpur-Jhamsikhel,204,Cash,Heavy Monsoon Rain,0,1,5,Completed
87,7/15/2026 7:41,July,Koteshwor,Balaju,189,Cash,Heavy Monsoon Rain,0,1,4.9,Completed
88,6/26/2026 0:39,June,Chabahil,Koteshwor,506,Fonepay,Heavy Monsoon Rain,0,1,4.5,Completed
89,8/12/2026 6:29,August,Lalitpur-Jhamsikhel,Balaju,287,Khalti,Heavy Monsoon Rain,0,0,4.4,Completed
90,8/31/2026 3:49,August,Chabahil,Thamel,186,Cash,Heavy Monsoon Rain,0,1,4.9,Completed
91,8/13/2026 21:58,August,Putalisadak,Thamel,158,Fonepay,Cloudy,0,0,4.4,Completed
92,8/20/2026 7:06,August,Lalitpur-Jhamsikhel,Balaju,197,Cash,Heavy Monsoon Rain,0,0,,Canceled
93,7/15/2026 17:27,July,Bhaktapur-Suryabinayak,Kalanki,163,Khalti,Cloudy,1,1,,Canceled
94,7/24/2026 15:06,July,Putalisadak,Chabahil,277,Esewa,Heavy Monsoon Rain,0,1,,Canceled
95,7/26/2026 5:46,July,Lalitpur-Jhamsikhel,Bhaktapur-Suryabinayak,501,Esewa,Heavy Monsoon Rain,0,0,4.2,Completed
96,8/15/2026 8:20,August,Thamel,Balaju,262,Cash,Clear,0,0,4.8,Completed
97,7/2/2026 14:36,July,Putalisadak,Chabahil,522,Cash,Heavy Monsoon Rain,0,1,,Canceled
98,7/12/2026 5:31,July,Thamel,Chabahil,411,Khalti,Heavy Monsoon Rain,0,1,3.9,Completed
99,8/16/2026 22:56,August,Lalitpur-Jhamsikhel,Bhaktapur-Suryabinayak,303,Cash,Heavy Monsoon Rain,0,0,,Canceled
100,6/11/2026 7:46,June,Putalisadak,Thamel,508,Fonepay,Heavy Monsoon Rain,0,0,,Canceled
101,8/22/2026 22:31,August,Balaju,Putalisadak,233,Cash,Heavy Monsoon Rain,0,0,3.9,Completed
102,7/22/2026 22:15,July,Lalitpur-Jhamsikhel,Putalisadak,362,Khalti,Cloudy,0,0,,Canceled
103,8/10/2026 16:22,August,Putalisadak,Bhaktapur-Suryabinayak,510,Khalti,Heavy Monsoon Rain,1,0,4.6,Completed
104,7/5/2026 9:16,July,Thamel,Kalanki,365,Fonepay,Cloudy,1,1,,Canceled
105,6/16/2026 23:34,June,Chabahil,Koteshwor,367,Fonepay,Clear,0,1,3.9,Completed
106,8/15/2026 16:38,August,Lalitpur-Jhamsikhel,Kalanki,460,Fonepay,Heavy Monsoon Rain,1,1,,Canceled
107,6/30/2026 11:11,June,Lalitpur-Jhamsikhel,Kalanki,442,Fonepay,Heavy Monsoon Rain,1,1,,Canceled
108,6/6/2026 1:35,June,Lalitpur-Jhamsikhel,Putalisadak,519,Fonepay,Heavy Monsoon Rain,0,0,3.7,Completed
109,6/2/2026 18:18,June,Balaju,Thamel,382,Esewa,Cloudy,1,0,,Canceled
110,6/24/2026 1:16,June,Balaju,Kalanki,454,Cash,Heavy Monsoon Rain,0,1,,Canceled
111,8/2/2026 2:36,August,Kalanki,Chabahil,385,Fonepay,Heavy Monsoon Rain,0,1,,Canceled
112,6/11/2026 7:07,June,Putalisadak,Lalitpur-Jhamsikhel,314,Fonepay,Clear,0,0,4.2,Completed
113,7/27/2026 9:55,July,Putalisadak,Chabahil,221,Cash,Cloudy,1,1,4.9,Completed
114,6/27/2026 20:13,June,Lalitpur-Jhamsikhel,Putalisadak,280,Cash,Heavy Monsoon Rain,0,0,3.9,Completed
115,8/10/2026 2:10,August,Kalanki,Lalitpur-Jhamsikhel,503,Esewa,Heavy Monsoon Rain,0,1,,Canceled
116,7/8/2026 1:14,July,Lalitpur-Jhamsikhel,Putalisadak,492,Khalti,Heavy Monsoon Rain,0,0,,Canceled
117,6/10/2026 21:14,June,Lalitpur-Jhamsikhel,Balaju,337,Fonepay,Cloudy,0,0,3.7,Completed
118,6/29/2026 20:09,June,Lalitpur-Jhamsikhel,Balaju,156,Fonepay,Clear,0,0,3.6,Completed
119,7/10/2026 19:47,July,Lalitpur-Jhamsikhel,Thamel,466,Cash,Cloudy,1,0,4.5,Completed
120,8/29/2026 12:17,August,Balaju,Thamel,196,Cash,Heavy Monsoon Rain,0,0,4.8,Completed
121,7/12/2026 19:16,July,Kalanki,Koteshwor,221,Fonepay,Heavy Monsoon Rain,1,1,,Canceled
122,8/26/2026 8:36,August,Kalanki,Balaju,503,Fonepay,Heavy Monsoon Rain,0,1,,Canceled
123,8/6/2026 20:28,August,Lalitpur-Jhamsikhel,Koteshwor,371,Esewa,Clear,0,1,,Canceled
124,6/12/2026 15:22,June,Putalisadak,Chabahil,173,Khalti,Cloudy,0,1,,Canceled
125,6/21/2026 10:26,June,Balaju,Chabahil,234,Esewa,Heavy Monsoon Rain,1,1,,Canceled
126,7/29/2026 2:20,July,Lalitpur-Jhamsikhel,Chabahil,326,Cash,Cloudy,0,1,4.8,Completed
127,6/1/2026 21:55,June,Balaju,Thamel,302,Cash,Heavy Monsoon Rain,0,0,4.3,Completed
128,8/19/2026 15:40,August,Balaju,Putalisadak,224,Cash,Clear,0,0,3.9,Completed
129,6/17/2026 9:28,June,Balaju,Kalanki,411,Cash,Heavy Monsoon Rain,1,1,,Canceled
130,8/30/2026 5:19,August,Kalanki,Bhaktapur-Suryabinayak,233,Esewa,Heavy Monsoon Rain,0,1,3.8,Completed
131,6/15/2026 14:07,June,Chabahil,Lalitpur-Jhamsikhel,532,Khalti,Heavy Monsoon Rain,0,1,,Canceled
132,8/30/2026 8:26,August,Balaju,Thamel,353,Fonepay,Clear,0,0,4.3,Completed
133,7/20/2026 6:58,July,Chabahil,Balaju,365,Cash,Heavy Monsoon Rain,0,1,,Canceled
134,7/24/2026 10:59,July,Lalitpur-Jhamsikhel,Balaju,448,Cash,Heavy Monsoon Rain,1,0,,Canceled
135,7/9/2026 18:37,July,Balaju,Putalisadak,591,Fonepay,Heavy Monsoon Rain,1,0,4.3,Completed
136,7/15/2026 10:35,July,Putalisadak,Thamel,367,Khalti,Heavy Monsoon Rain,1,0,,Canceled
137,8/29/2026 7:36,August,Putalisadak,Koteshwor,198,Esewa,Heavy Monsoon Rain,0,1,,Canceled
138,7/11/2026 23:30,July,Putalisadak,Thamel,522,Fonepay,Heavy Monsoon Rain,0,0,,Canceled
139,6/5/2026 4:32,June,Bhaktapur-Suryabinayak,Balaju,482,Cash,Heavy Monsoon Rain,0,0,,Canceled
140,6/13/2026 16:58,June,Balaju,Kalanki,559,Fonepay,Heavy Monsoon Rain,1,1,,Canceled
141,8/23/2026 4:04,August,Balaju,Putalisadak,410,Khalti,Heavy Monsoon Rain,0,0,4.4,Completed
142,7/21/2026 20:05,July,Bhaktapur-Suryabinayak,Balaju,394,Esewa,Heavy Monsoon Rain,0,0,4.4,Completed
143,8/2/2026 17:02,August,Koteshwor,Chabahil,401,Khalti,Heavy Monsoon Rain,1,1,4.6,Completed
144,7/26/2026 3:48,July,Koteshwor,Lalitpur-Jhamsikhel,382,Fonepay,Heavy Monsoon Rain,0,1,,Canceled
145,6/4/2026 1:20,June,Kalanki,Thamel,311,Khalti,Clear,0,1,4.1,Completed
146,7/2/2026 16:26,July,Chabahil,Koteshwor,208,Fonepay,Clear,1,1,4.4,Completed
147,7/19/2026 19:43,July,Thamel,Lalitpur-Jhamsikhel,404,Fonepay,Heavy Monsoon Rain,1,0,,Canceled
148,7/30/2026 20:16,July,Balaju,Chabahil,358,Cash,Cloudy,0,1,4.9,Completed
149,8/26/2026 17:10,August,Koteshwor,Lalitpur-Jhamsikhel,464,Khalti,Heavy Monsoon Rain,1,1,,Canceled
150,8/21/2026 13:44,August,Lalitpur-Jhamsikhel,Thamel,309,Khalti,Heavy Monsoon Rain,0,0,5,Completed
151,8/1/2026 3:15,August,Putalisadak,Lalitpur-Jhamsikhel,271,Khalti,Clear,0,0,5,Completed
152,7/8/2026 0:53,July,Putalisadak,Chabahil,203,Cash,Heavy Monsoon Rain,0,1,,Canceled
153,8/17/2026 23:31,August,Lalitpur-Jhamsikhel,Balaju,420,Fonepay,Heavy Monsoon Rain,0,0,,Canceled
154,6/29/2026 20:12,June,Lalitpur-Jhamsikhel,Putalisadak,169,Fonepay,Cloudy,0,0,4.9,Completed
155,8/22/2026 1:19,August,Balaju,Kalanki,261,Khalti,Heavy Monsoon Rain,0,1,3.6,Completed
156,7/8/2026 10:47,July,Putalisadak,Koteshwor,317,Fonepay,Heavy Monsoon Rain,1,1,4.7,Completed
157,7/17/2026 16:32,July,Lalitpur-Jhamsikhel,Balaju,326,Fonepay,Clear,1,0,,Canceled
158,8/1/2026 9:47,August,Bhaktapur-Suryabinayak,Balaju,610,Cash,Heavy Monsoon Rain,1,0,,Canceled
159,6/10/2026 4:48,June,Thamel,Balaju,307,Esewa,Cloudy,0,0,3.6,Completed
160,7/21/2026 0:16,July,Koteshwor,Lalitpur-Jhamsikhel,254,Khalti,Cloudy,0,1,4.4,Completed
161,8/21/2026 11:06,August,Thamel,Lalitpur-Jhamsikhel,487,Cash,Heavy Monsoon Rain,1,0,,Canceled
162,8/18/2026 7:41,August,Koteshwor,Putalisadak,383,Esewa,Heavy Monsoon Rain,0,1,4.5,Completed
163,6/15/2026 4:02,June,Kalanki,Thamel,250,Esewa,Heavy Monsoon Rain,0,1,,Canceled
164,6/13/2026 7:56,June,Chabahil,Lalitpur-Jhamsikhel,309,Esewa,Cloudy,0,1,4.5,Completed
165,8/29/2026 17:26,August,Chabahil,Lalitpur-Jhamsikhel,481,Cash,Cloudy,1,1,4.4,Completed
166,7/6/2026 1:44,July,Bhaktapur-Suryabinayak,Koteshwor,485,Esewa,Heavy Monsoon Rain,0,1,,Canceled
167,7/1/2026 11:06,July,Bhaktapur-Suryabinayak,Lalitpur-Jhamsikhel,196,Khalti,Clear,1,0,4.1,Completed
168,6/25/2026 3:54,June,Balaju,Kalanki,130,Fonepay,Clear,0,1,3.6,Completed
169,7/13/2026 7:08,July,Thamel,Kalanki,322,Fonepay,Heavy Monsoon Rain,0,1,,Canceled
170,6/30/2026 10:49,June,Chabahil,Balaju,339,Cash,Cloudy,1,1,4.8,Completed
171,6/19/2026 4:34,June,Lalitpur-Jhamsikhel,Balaju,176,Fonepay,Cloudy,0,0,4.5,Completed
172,6/4/2026 4:00,June,Bhaktapur-Suryabinayak,Balaju,285,Fonepay,Clear,0,0,3.5,Completed
173,7/4/2026 1:08,July,Putalisadak,Lalitpur-Jhamsikhel,212,Cash,Heavy Monsoon Rain,0,0,,Canceled
174,7/31/2026 14:49,July,Bhaktapur-Suryabinayak,Lalitpur-Jhamsikhel,491,Cash,Heavy Monsoon Rain,0,0,4.3,Completed
175,8/18/2026 1:46,August,Lalitpur-Jhamsikhel,Thamel,151,Cash,Cloudy,0,0,5,Completed
176,7/22/2026 13:43,July,Koteshwor,Lalitpur-Jhamsikhel,219,Esewa,Heavy Monsoon Rain,0,1,,Canceled
177,6/11/2026 10:38,June,Chabahil,Kalanki,442,Fonepay,Heavy Monsoon Rain,1,1,4.4,Completed
178,8/14/2026 17:45,August,Bhaktapur-Suryabinayak,Thamel,457,Khalti,Clear,1,0,,Canceled
179,8/4/2026 19:27,August,Koteshwor,Balaju,299,Cash,Clear,1,1,4.1,Completed
180,6/30/2026 13:21,June,Balaju,Thamel,235,Esewa,Heavy Monsoon Rain,0,0,,Canceled
181,7/11/2026 13:20,July,Lalitpur-Jhamsikhel,Chabahil,506,Fonepay,Heavy Monsoon Rain,0,1,,Canceled
182,6/9/2026 2:53,June,Koteshwor,Kalanki,169,Esewa,Cloudy,0,1,4.6,Completed
183,7/18/2026 4:35,July,Kalanki,Bhaktapur-Suryabinayak,254,Khalti,Heavy Monsoon Rain,0,1,,Canceled
184,7/23/2026 11:55,July,Putalisadak,Balaju,453,Cash,Heavy Monsoon Rain,1,0,,Canceled
185,8/16/2026 9:22,August,Koteshwor,Bhaktapur-Suryabinayak,258,Fonepay,Clear,1,1,4.5,Completed
186,6/29/2026 3:22,June,Bhaktapur-Suryabinayak,Kalanki,235,Khalti,Clear,0,1,4.7,Completed
187,8/11/2026 19:39,August,Kalanki,Bhaktapur-Suryabinayak,174,Khalti,Clear,1,1,,Canceled
188,6/24/2026 8:44,June,Lalitpur-Jhamsikhel,Chabahil,123,Khalti,Clear,0,1,3.8,Completed
189,6/19/2026 18:42,June,Putalisadak,Kalanki,229,Fonepay,Heavy Monsoon Rain,1,1,3.6,Completed
190,8/7/2026 6:24,August,Putalisadak,Thamel,280,Khalti,Heavy Monsoon Rain,0,0,4.1,Completed
191,7/12/2026 18:38,July,Koteshwor,Kalanki,260,Fonepay,Cloudy,1,1,,Canceled
192,8/19/2026 1:43,August,Koteshwor,Thamel,471,Esewa,Heavy Monsoon Rain,0,1,,Canceled
193,8/2/2026 19:28,August,Putalisadak,Chabahil,302,Fonepay,Heavy Monsoon Rain,1,1,,Canceled
194,7/15/2026 13:07,July,Lalitpur-Jhamsikhel,Putalisadak,277,Esewa,Cloudy,0,0,3.6,Completed
195,7/21/2026 19:03,July,Kalanki,Chabahil,387,Khalti,Heavy Monsoon Rain,1,1,,Canceled
196,6/18/2026 8:18,June,Bhaktapur-Suryabinayak,Kalanki,523,Cash,Heavy Monsoon Rain,0,1,4.6,Completed
197,6/23/2026 4:24,June,Thamel,Bhaktapur-Suryabinayak,156,Khalti,Cloudy,0,0,4.1,Completed
198,6/6/2026 13:01,June,Balaju,Kalanki,339,Khalti,Cloudy,0,1,,Canceled
199,8/13/2026 12:45,August,Putalisadak,Chabahil,457,Cash,Heavy Monsoon Rain,0,1,3.5,Completed
200,7/12/2026 5:51,July,Balaju,Putalisadak,230,Khalti,Heavy Monsoon Rain,0,0,,Canceled
201,7/26/2026 3:15,July,Putalisadak,Lalitpur-Jhamsikhel,160,Esewa,Cloudy,0,0,,Canceled
202,7/21/2026 9:47,July,Bhaktapur-Suryabinayak,Koteshwor,350,Khalti,Heavy Monsoon Rain,1,1,,Canceled
203,6/10/2026 16:40,June,Koteshwor,Bhaktapur-Suryabinayak,387,Fonepay,Cloudy,1,1,,Canceled
204,7/15/2026 23:52,July,Chabahil,Koteshwor,271,Cash,Heavy Monsoon Rain,0,1,3.9,Completed
205,6/23/2026 19:09,June,Koteshwor,Chabahil,606,Esewa,Heavy Monsoon Rain,1,1,4.6,Completed
206,8/14/2026 14:43,August,Bhaktapur-Suryabinayak,Balaju,197,Khalti,Cloudy,0,0,,Canceled
207,7/27/2026 2:30,July,Balaju,Bhaktapur-Suryabinayak,364,Khalti,Heavy Monsoon Rain,0,0,,Canceled
208,8/15/2026 1:22,August,Koteshwor,Thamel,491,Esewa,Heavy Monsoon Rain,0,1,,Canceled
209,6/5/2026 1:23,June,Lalitpur-Jhamsikhel,Kalanki,379,Cash,Clear,0,1,4.1,Completed
210,8/14/2026 17:50,August,Kalanki,Lalitpur-Jhamsikhel,482,Fonepay,Heavy Monsoon Rain,1,1,,Canceled
211,8/17/2026 15:32,August,Chabahil,Kalanki,240,Esewa,Heavy Monsoon Rain,0,1,,Canceled
212,7/14/2026 22:05,July,Chabahil,Kalanki,344,Fonepay,Clear,0,1,5,Completed
213,8/7/2026 16:39,August,Chabahil,Thamel,343,Khalti,Clear,1,1,,Canceled
214,7/20/2026 13:49,July,Bhaktapur-Suryabinayak,Putalisadak,407,Cash,Heavy Monsoon Rain,0,0,,Canceled
215,6/9/2026 10:06,June,Putalisadak,Chabahil,254,Khalti,Cloudy,1,1,4,Completed
216,8/14/2026 21:09,August,Bhaktapur-Suryabinayak,Chabahil,186,Esewa,Clear,0,1,,Canceled
217,8/16/2026 22:05,August,Lalitpur-Jhamsikhel,Bhaktapur-Suryabinayak,403,Esewa,Heavy Monsoon Rain,0,0,4.7,Completed
218,8/25/2026 22:53,August,Koteshwor,Putalisadak,380,Esewa,Clear,0,1,,Canceled
219,7/17/2026 0:23,July,Lalitpur-Jhamsikhel,Koteshwor,294,Fonepay,Clear,0,1,,Canceled
220,8/2/2026 6:14,August,Chabahil,Koteshwor,379,Cash,Heavy Monsoon Rain,0,1,4.8,Completed
221,6/13/2026 16:49,June,Kalanki,Putalisadak,243,Khalti,Clear,1,1,,Canceled
222,8/16/2026 12:09,August,Chabahil,Koteshwor,344,Fonepay,Cloudy,0,1,3.6,Completed
223,7/17/2026 21:46,July,Thamel,Lalitpur-Jhamsikhel,488,Khalti,Heavy Monsoon Rain,0,0,,Canceled
224,6/30/2026 17:15,June,Lalitpur-Jhamsikhel,Balaju,372,Esewa,Heavy Monsoon Rain,1,0,,Canceled
225,7/18/2026 21:36,July,Balaju,Thamel,441,Khalti,Heavy Monsoon Rain,0,0,4.3,Completed
226,7/24/2026 5:52,July,Thamel,Balaju,347,Fonepay,Heavy Monsoon Rain,0,0,,Canceled
227,6/7/2026 20:30,June,Bhaktapur-Suryabinayak,Lalitpur-Jhamsikhel,183,Cash,Cloudy,0,0,,Canceled
228,7/7/2026 2:48,July,Chabahil,Thamel,195,Esewa,Cloudy,0,1,4.7,Completed
229,6/12/2026 7:52,June,Balaju,Chabahil,332,Cash,Clear,0,1,3.6,Completed
230,8/4/2026 11:15,August,Putalisadak,Kalanki,304,Khalti,Clear,1,1,3.5,Completed
231,6/13/2026 22:41,June,Bhaktapur-Suryabinayak,Balaju,190,Fonepay,Clear,0,0,3.6,Completed
